id,question,answer,topic,difficulty
935,Write a SQL query to retrieve all records from students sorted by name in ascending order.,SELECT * FROM students ORDER BY name ASC,ORDER BY,Easy
936,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
937,Write a SQL query to find the maximum value of customer_id in the orders table.,SELECT MAX(customer_id) FROM orders,AGGREGATE FUNCTIONS,Easy
938,Write a SQL query to select all records from departments where location < 12.,SELECT * FROM departments WHERE location<12,WHERE,Medium
939,Write a SQL query to count the number of records in the books table.,SELECT COUNT(*) FROM books,AGGREGATE FUNCTIONS,Easy
940,Write a SQL query to select all records from departments where dept_name > 68.,SELECT * FROM departments WHERE dept_name>68,WHERE,Medium
941,Write a SQL query to find the min for each city in the customers table.,"SELECT city,MIN(first_name) FROM customers GROUP BY city",GROUP BY,Medium
942,Write a SQL query to select all records from departments where location = 51.,SELECT * FROM departments WHERE location=51,WHERE,Easy
943,Write a SQL query to select distinct values of dept_id and budget from departments.,"SELECT DISTINCT dept_id,budget FROM departments",SELECT,Hard
944,Write a SQL query to retrieve all records from courses sorted by credits in descending order.,SELECT * FROM courses ORDER BY credits DESC,ORDER BY,Medium
945,Write a SQL query to calculate the average of origin in the flights table.,SELECT AVG(origin) FROM flights,AGGREGATE FUNCTIONS,Medium
946,Write a SQL query to select all records from courses where course_id < 13.,SELECT * FROM courses WHERE course_id<13,WHERE,Medium
947,Write a SQL query to select all records from orders where order_date > 47.,SELECT * FROM orders WHERE order_date>47,WHERE,Medium
948,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
949,Write a SQL query to select the department and instructor columns from the courses table.,"SELECT department,instructor FROM courses",SELECT,Medium
950,Write a SQL query to select the credits and course_name columns from the courses table.,"SELECT credits,course_name FROM courses",SELECT,Medium
951,Write a SQL query to calculate the average of department in the employees table.,SELECT AVG(department) FROM employees,AGGREGATE FUNCTIONS,Medium
952,Write a SQL query to retrieve all records from courses sorted by course_name in ascending order.,SELECT * FROM courses ORDER BY course_name ASC,ORDER BY,Easy
953,Write a SQL query to select the first_name and email columns from the customers table.,"SELECT first_name,email FROM customers",SELECT,Medium
954,Write a SQL query to select all records from flights where origin = 17.,SELECT * FROM flights WHERE origin=17,WHERE,Easy
955,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
956,Write a SQL query to retrieve all records from customers sorted by city in ascending order.,SELECT * FROM customers ORDER BY city ASC,ORDER BY,Easy
957,Write a SQL query to find the max for each credits in the courses table.,"SELECT credits,MAX(course_name) FROM courses GROUP BY credits",GROUP BY,Medium
958,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
959,Write a SQL query to select all records from courses where course_id != 69.,SELECT * FROM courses WHERE course_id!=69,WHERE,Hard
960,Write a SQL query to find the minimum value of instructor in the courses table.,SELECT MIN(instructor) FROM courses,AGGREGATE FUNCTIONS,Easy
961,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
962,Write a SQL query to find the count for each genre in the books table.,"SELECT genre,COUNT(*) FROM books GROUP BY genre",GROUP BY,Easy
963,Write a SQL query to select all records from books where genre >= 42.,SELECT * FROM books WHERE genre>=42,WHERE,Hard
964,Write a SQL query to retrieve all records from departments sorted by dept_name in ascending order.,SELECT * FROM departments ORDER BY dept_name ASC,ORDER BY,Easy
965,Write a SQL query to retrieve all records from products sorted by price in descending order.,SELECT * FROM products ORDER BY price DESC,ORDER BY,Medium
966,Write a SQL query to retrieve all records from employees sorted by department in ascending order.,SELECT * FROM employees ORDER BY department ASC,ORDER BY,Easy
967,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
968,Write a SQL query to find the count for each course_id in the courses table.,"SELECT course_id,COUNT(*) FROM courses GROUP BY course_id",GROUP BY,Easy
969,Write a SQL query to find the minimum value of student_id in the students table.,SELECT MIN(student_id) FROM students,AGGREGATE FUNCTIONS,Easy
970,Write a SQL query to retrieve all records from the students table.,SELECT * FROM students,SELECT,Easy
971,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
972,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
973,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
974,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
975,Write a SQL query to find the avg for each city in the customers table.,"SELECT city,AVG(last_name) FROM customers GROUP BY city",GROUP BY,Medium
976,Write a SQL query to select all records from flights where origin < 48.,SELECT * FROM flights WHERE origin<48,WHERE,Medium
977,Write a SQL query to select the product_id and sale_date columns from the sales table.,"SELECT product_id,sale_date FROM sales",SELECT,Medium
978,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
979,Write a SQL query to find the max for each order_date in the orders table.,"SELECT order_date,MAX(status) FROM orders GROUP BY order_date",GROUP BY,Medium
980,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
981,Write a SQL query to find the maximum value of city in the customers table.,SELECT MAX(city) FROM customers,AGGREGATE FUNCTIONS,Easy
982,Write a SQL query to select all records from courses where course_name > 73.,SELECT * FROM courses WHERE course_name>73,WHERE,Medium
983,Write a SQL query to find the count for each airline in the flights table.,"SELECT airline,COUNT(*) FROM flights GROUP BY airline",GROUP BY,Easy
984,Write a SQL query to select all records from customers where first_name <= 15.,SELECT * FROM customers WHERE first_name<=15,WHERE,Hard
985,Write a SQL query to retrieve all records from departments sorted by manager in ascending order.,SELECT * FROM departments ORDER BY manager ASC,ORDER BY,Easy
986,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
987,Write a SQL query to find the avg for each dept_name in the departments table.,"SELECT dept_name,AVG(budget) FROM departments GROUP BY dept_name",GROUP BY,Medium
988,Write a SQL query to select all records from orders where customer_id < 85.,SELECT * FROM orders WHERE customer_id<85,WHERE,Medium
989,Write a SQL query to retrieve all records from departments sorted by manager in descending order.,SELECT * FROM departments ORDER BY manager DESC,ORDER BY,Medium
990,Write a SQL query to select distinct values of name and grade from students.,"SELECT DISTINCT name,grade FROM students",SELECT,Hard
991,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
992,Write a SQL query to select the revenue and sale_date columns from the sales table.,"SELECT revenue,sale_date FROM sales",SELECT,Medium
993,Write a SQL query to retrieve all records from courses sorted by credits in ascending order.,SELECT * FROM courses ORDER BY credits ASC,ORDER BY,Easy
994,Write a SQL query to retrieve all records from employees sorted by emp_name in ascending order.,SELECT * FROM employees ORDER BY emp_name ASC,ORDER BY,Easy
995,Write a SQL query to select the emp_name and department columns from the employees table.,"SELECT emp_name,department FROM employees",SELECT,Medium
996,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
997,Write a SQL query to calculate the total sum of product_id in the products table.,SELECT SUM(product_id) FROM products,AGGREGATE FUNCTIONS,Medium
998,Write a SQL query to select all records from customers where last_name > 43.,SELECT * FROM customers WHERE last_name>43,WHERE,Medium
999,Write a SQL query to calculate the average of email in the customers table.,SELECT AVG(email) FROM customers,AGGREGATE FUNCTIONS,Medium
1000,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
1001,Write a SQL query to find the max for each product_name in the products table.,"SELECT product_name,MAX(price) FROM products GROUP BY product_name",GROUP BY,Medium
1002,Write a SQL query to select all records from courses where course_id != 30.,SELECT * FROM courses WHERE course_id!=30,WHERE,Hard
1003,Write a SQL query to select all records from books where genre <= 96.,SELECT * FROM books WHERE genre<=96,WHERE,Hard
1004,Write a SQL query to count the number of records in the flights table.,SELECT COUNT(*) FROM flights,AGGREGATE FUNCTIONS,Easy
1005,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1006,Write a SQL query to select all records from books where book_id <= 85.,SELECT * FROM books WHERE book_id<=85,WHERE,Hard
